"","variety","country","points","price","province","region_1","title","winery","word","n","year"
"26","Pinot Noir","US",91,55,"California","Carmel Valley","Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley)","Albatross Ridge","dried",749,"2012"
"27","Pinot Noir","US",91,55,"California","Carmel Valley","Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley)","Albatross Ridge","cherry",5631,"2012"
"28","Pinot Noir","US",91,38,"Oregon","Willamette Valley","Le Cadeau 2014 Pinot Noir (Willamette Valley)","Le Cadeau","ripe",2121,"2014"
"29","Pinot Noir","US",88,36,"California","Arroyo Seco","McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco)","McIntyre Vineyards","crisp",861,"2006"
"30","Pinot Noir","US",88,36,"California","Arroyo Seco","McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco)","McIntyre Vineyards","elegant",659,"2006"
"31","Pinot Noir","US",88,40,"California","Anderson Valley","Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley)","Harrington","rich",1510,"2006"
"32","Pinot Noir","US",88,40,"California","Anderson Valley","Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley)","Harrington","delicious",680,"2006"
"33","Pinot Noir","US",85,15,"New York","Finger Lakes","Wagner 2006 Grace House Pinot Noir (Finger Lakes)","Wagner","noir",2160,"2006"
"34","Pinot Noir","US",85,15,"New York","Finger Lakes","Wagner 2006 Grace House Pinot Noir (Finger Lakes)","Wagner","vanilla",745,"2006"
"35","Pinot Noir","US",85,15,"New York","Finger Lakes","Wagner 2006 Grace House Pinot Noir (Finger Lakes)","Wagner","silky",1178,"2006"
"36","Pinot Noir","US",85,22,"Oregon","Willamette Valley","Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley)","Cherry Hill","spicy",944,"2006"
"37","Pinot Noir","US",89,60,"California","Santa Maria Valley","Byron 2009 Monument Pinot Noir (Santa Maria Valley)","Byron","firm",830,"2009"
"38","Pinot Noir","US",92,34,"California","Santa Maria Valley","Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley)","Cambria","cherries",1423,"2011"
"39","Pinot Noir","US",92,34,"California","Santa Maria Valley","Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley)","Cambria","spices",608,"2011"
"40","Pinot Noir","US",92,52,"Oregon","Dundee Hills","J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills)","J. Christopher","raspberries",689,"2011"
"41","Pinot Noir","France",87,30,"Burgundy","Côte de Nuits-Villages","Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages)","Domaine Bertagna","fruits",1139,"2009"
"42","Pinot Noir","Chile",83,35,"Colchagua Costa","","Koyle 2015 Costa Pinot Noir (Colchagua Costa)","Koyle","plum",1324,"2015"
"43","Pinot Noir","France",95,350,"Burgundy","Clos de Vougeot","Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot)","Château de la Tour","bright",808,"2013"
"44","Pinot Noir","France",95,350,"Burgundy","Clos de Vougeot","Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot)","Château de la Tour","vintage",697,"2013"
"45","Pinot Noir","France",95,350,"Burgundy","Clos de Vougeot","Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot)","Château de la Tour","concentrated",612,"2013"
"46","Pinot Noir","US",91,75,"California","Sonoma Coast","D.R. Stephens 2014 Silver Eagle Vineyard Pinot Noir (Sonoma Coast)","D.R. Stephens","medium",767,"2014"
"47","Pinot Noir","US",91,45,"California","Russian River Valley","Joseph Jewell 2014 Bucher Vineyard Pinot Noir (Russian River Valley)","Joseph Jewell","pomegranate",664,"2014"
"48","Pinot Noir","US",93,42,"California","Edna Valley","Claiborne & Churchill 2014 Twin Creeks Estate Pinot Noir (Edna Valley)","Claiborne & Churchill","cinnamon",708,"2014"
"49","Pinot Noir","US",93,85,"California","Green Valley","Iron Horse 2013 Thomas Road Pinot Noir (Green Valley)","Iron Horse","pepper",665,"2013"
"50","Pinot Noir","US",92,48,"Oregon","Willamette Valley","WillaKenzie Estate 2013 Aliette Pinot Noir","WillaKenzie Estate","rose",611,"2013"
"51","Chardonnay","US",87,12,"California","Central Coast","Mirassou 2012 Chardonnay (Central Coast)","Mirassou","green",1090,"2012"
"52","Chardonnay","US",87,12,"California","Central Coast","Mirassou 2012 Chardonnay (Central Coast)","Mirassou","apple",3414,"2012"
"53","Chardonnay","US",87,12,"California","Central Coast","Mirassou 2012 Chardonnay (Central Coast)","Mirassou","pear",2031,"2012"
"54","Chardonnay","US",87,12,"California","Central Coast","Mirassou 2012 Chardonnay (Central Coast)","Mirassou","ripe",2391,"2012"
"55","Chardonnay","US",87,12,"California","Central Coast","Mirassou 2012 Chardonnay (Central Coast)","Mirassou","pineapple",1555,"2012"
"56","Chardonnay","US",85,30,"California","Napa Valley","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","RustRidge","orange",857,"2010"
"57","Chardonnay","US",85,30,"California","Napa Valley","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","RustRidge","soft",970,"2010"
"58","Chardonnay","US",85,30,"California","Napa Valley","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","RustRidge","buttered",980,"2010"
"59","Chardonnay","US",85,30,"California","Napa Valley","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","RustRidge","toast",1604,"2010"
"60","Chardonnay","US",85,30,"California","Napa Valley","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","RustRidge","caramel",662,"2010"
"61","Chardonnay","US",85,14,"California","North Coast","Souverain 2010 Chardonnay (North Coast)","Souverain","creamy",1277,"2010"
"62","Chardonnay","US",85,14,"California","North Coast","Souverain 2010 Chardonnay (North Coast)","Souverain","medium",765,"2010"
"63","Chardonnay","US",85,14,"California","North Coast","Souverain 2010 Chardonnay (North Coast)","Souverain","lime",1023,"2010"
"64","Chardonnay","US",85,14,"California","North Coast","Souverain 2010 Chardonnay (North Coast)","Souverain","vanilla",1879,"2010"
"65","Chardonnay","France",86,24,"Burgundy","Chablis","Simonnet-Febvre 2015  Chablis","Simonnet-Febvre","fruity",710,"2015"
"66","Chardonnay","France",86,24,"Burgundy","Chablis","Simonnet-Febvre 2015  Chablis","Simonnet-Febvre","white",1346,"2015"
"67","Chardonnay","France",86,24,"Burgundy","Chablis","Simonnet-Febvre 2015  Chablis","Simonnet-Febvre","fruit",3478,"2015"
"68","Chardonnay","France",86,15,"Burgundy","Mâcon-Milly Lamartine","Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine","Vignerons des Terres Secrètes","melon",744,"2015"
"69","Chardonnay","France",86,15,"Burgundy","Mâcon-Milly Lamartine","Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine","Vignerons des Terres Secrètes","smooth",507,"2015"
"70","Chardonnay","US",86,12,"Washington","Columbia Valley (WA)","Drumheller 2014 Chardonnay (Columbia Valley (WA))","Drumheller","light",1032,"2014"
"71","Chardonnay","Australia",86,18,"South Australia","South Australia","Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)","Yalumba","bodied",1183,"2016"
"72","Chardonnay","Australia",86,18,"South Australia","South Australia","Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)","Yalumba","chardonnay",3150,"2016"
"73","Chardonnay","Chile",87,18,"Leyda Valley","","Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley)","Leyda","bright",855,"2015"
"74","Chardonnay","US",87,18,"California","Paso Robles","Pull 2013 Chardonnay (Paso Robles)","Pull","yellow",881,"2013"
"75","Chardonnay","US",87,18,"California","Paso Robles","Pull 2013 Chardonnay (Paso Robles)","Pull","apples",534,"2013"
"76","Chardonnay","US",87,18,"California","Paso Robles","Pull 2013 Chardonnay (Paso Robles)","Pull","butter",649,"2013"
"77","Chardonnay","US",87,18,"California","Paso Robles","Pull 2013 Chardonnay (Paso Robles)","Pull","tight",517,"2013"
"78","Chardonnay","US",87,18,"California","Paso Robles","Pull 2013 Chardonnay (Paso Robles)","Pull","minerality",876,"2013"
"79","Chardonnay","US",87,18,"California","Paso Robles","Pull 2013 Chardonnay (Paso Robles)","Pull","sweet",1133,"2013"
"80","Chardonnay","US",92,36,"California","Alexander Valley","Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley)","Matrix","toasty",533,"2007"
"81","Chardonnay","US",92,36,"California","Alexander Valley","Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley)","Matrix","wood",702,"2007"
"82","Chardonnay","US",92,36,"California","Alexander Valley","Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley)","Matrix","rich",1868,"2007"
"83","Chardonnay","France",88,27,"Burgundy","Chablis","La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis)","La Chablisienne","fresh",1312,"2006"
"84","Chardonnay","France",88,27,"Burgundy","Chablis","La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis)","La Chablisienne","richness",641,"2006"
"85","Chardonnay","US",88,23,"California","Santa Lucia Highlands","Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands)","Manzoni","oaky",601,"2006"
"86","Chardonnay","US",88,23,"California","Santa Lucia Highlands","Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands)","Manzoni","crisp",1885,"2006"
"87","Chardonnay","US",88,23,"California","Santa Lucia Highlands","Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands)","Manzoni","lemon",1996,"2006"
"88","Chardonnay","Chile",87,11,"Casablanca Valley","","Emiliana 2008 Natura Chardonnay (Casablanca Valley)","Emiliana","clean",714,"2008"
"89","Chardonnay","Chile",87,11,"Casablanca Valley","","Emiliana 2008 Natura Chardonnay (Casablanca Valley)","Emiliana","citrus",1774,"2008"
"90","Chardonnay","France",87,35,"Burgundy","St.-Romain","Bertrand Ambroise 2006  St.-Romain","Bertrand Ambroise","fruits",1111,"2006"
"91","Chardonnay","South Africa",90,20,"Western Cape","","Eikendal 2014 Chardonnay (Western Cape)","Eikendal","toasted",496,"2014"
"92","Chardonnay","South Africa",90,25,"Stellenbosch","","Oldenburg 2013 Chardonnay (Stellenbosch)","Oldenburg","spice",1041,"2013"
"93","Chardonnay","US",96,68,"California","Russian River Valley","Rochioli 2014 South River Chardonnay (Russian River Valley)","Rochioli","delicious",470,"2014"
"94","Chardonnay","US",96,68,"California","Russian River Valley","Rochioli 2014 South River Chardonnay (Russian River Valley)","Rochioli","apricot",665,"2014"
"95","Chardonnay","France",96,630,"Burgundy","Montrachet","Louis Latour 2014 Le Montrachet  (Montrachet)","Louis Latour","mineral",783,"2014"
"96","Chardonnay","Chile",85,14,"Casablanca Valley","","Lapostolle 2007 Casa Chardonnay (Casablanca Valley)","Lapostolle","peach",1586,"2007"
"97","Chardonnay","France",92,66,"Burgundy","Meursault","Henri de Villamont 2010 Blagny Premier Cru  (Meursault)","Henri de Villamont","aging",461,"2010"
"98","Chardonnay","US",87,12,"New York","Finger Lakes","Knapp 2011 Chardonnay (Finger Lakes)","Knapp","tropical",1266,"2011"
"99","Chardonnay","US",89,38,"Washington","Columbia Valley (WA)","Alleromb 2014 La Reyna Blanca Vineyard Chardonnay (Columbia Valley (WA))","Alleromb","barrel",530,"2014"
"100","Chardonnay","US",92,37,"California","Santa Maria Valley","Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley)","Foxen","honey",660,"2014"
"101","Cabernet Sauvignon","US",87,19,"California","Napa Valley","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Kirkland Signature","soft",1318,"2011"
"102","Cabernet Sauvignon","US",87,19,"California","Napa Valley","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Kirkland Signature","plum",1338,"2011"
"103","Cabernet Sauvignon","US",87,19,"California","Napa Valley","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Kirkland Signature","cabernet",2931,"2011"
"104","Cabernet Sauvignon","US",87,19,"California","Napa Valley","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Kirkland Signature","coffee",502,"2011"
"105","Cabernet Sauvignon","US",87,19,"California","Napa Valley","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Kirkland Signature","chocolate",1515,"2011"
"106","Cabernet Sauvignon","US",87,34,"California","Alexander Valley","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Louis M. Martini","tannic",1066,"2012"
"107","Cabernet Sauvignon","US",87,34,"California","Alexander Valley","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Louis M. Martini","juicy",528,"2012"
"108","Cabernet Sauvignon","US",87,34,"California","Alexander Valley","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Louis M. Martini","rich",1324,"2012"
"109","Cabernet Sauvignon","US",87,34,"California","Alexander Valley","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Louis M. Martini","black",3144,"2012"
"110","Cabernet Sauvignon","US",87,34,"California","Alexander Valley","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Louis M. Martini","cherry",2817,"2012"
"111","Cabernet Sauvignon","US",87,34,"California","Alexander Valley","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Louis M. Martini","firm",759,"2012"
"112","Cabernet Sauvignon","Italy",86,21,"Sicily & Sardinia","Sicilia","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Feudi del Pisciotto","concentrated",458,"2010"
"113","Cabernet Sauvignon","Italy",86,21,"Sicily & Sardinia","Sicilia","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Feudi del Pisciotto","dried",661,"2010"
"114","Cabernet Sauvignon","Italy",86,21,"Sicily & Sardinia","Sicilia","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Feudi del Pisciotto","fruit",3133,"2010"
"115","Cabernet Sauvignon","Italy",86,21,"Sicily & Sardinia","Sicilia","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Feudi del Pisciotto","spice",1012,"2010"
"116","Cabernet Sauvignon","US",86,100,"California","Napa Valley","Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)","Okapi","vanilla",873,"2013"
"117","Cabernet Sauvignon","US",86,100,"California","Napa Valley","Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)","Okapi","ripe",1461,"2013"
"118","Cabernet Sauvignon","US",86,100,"California","Napa Valley","Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)","Okapi","bodied",1064,"2013"
"119","Cabernet Sauvignon","US",86,100,"California","Napa Valley","Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)","Okapi","leather",450,"2013"
"120","Cabernet Sauvignon","US",86,75,"California","Howell Mountain","Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)","Hindsight","raspberry",536,"2013"
"121","Cabernet Sauvignon","US",86,75,"California","Howell Mountain","Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)","Hindsight","tobacco",719,"2013"
"122","Cabernet Sauvignon","US",86,75,"California","Howell Mountain","Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)","Hindsight","cedar",981,"2013"
"123","Cabernet Sauvignon","US",86,75,"California","Howell Mountain","Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)","Hindsight","tannin",486,"2013"
"124","Cabernet Sauvignon","US",87,85,"California","Yountville","Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville)","Piña","varietal",473,"2013"
"125","Cabernet Sauvignon","US",92,45,"California","Napa Valley","Silverado 2006 Cabernet Sauvignon (Napa Valley)","Silverado","sauvignon",677,"2006"
"126","Cabernet Sauvignon","US",92,45,"California","Napa Valley","Silverado 2006 Cabernet Sauvignon (Napa Valley)","Silverado","tannins",3525,"2006"
"127","Cabernet Sauvignon","US",92,45,"California","Napa Valley","Silverado 2006 Cabernet Sauvignon (Napa Valley)","Silverado","blackberries",814,"2006"
"128","Cabernet Sauvignon","US",92,45,"California","Napa Valley","Silverado 2006 Cabernet Sauvignon (Napa Valley)","Silverado","cherries",573,"2006"
"129","Cabernet Sauvignon","US",92,45,"California","Napa Valley","Silverado 2006 Cabernet Sauvignon (Napa Valley)","Silverado","smoky",621,"2006"
"130","Cabernet Sauvignon","South Africa",91,30,"Simonsberg-Stellenbosch","","Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch)","Delheim","cassis",1641,"2001"
"131","Cabernet Sauvignon","US",91,78,"California","Napa Valley","Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley)","Clark-Clauden","cellar",514,"2007"
"132","Cabernet Sauvignon","US",91,78,"California","Napa Valley","Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley)","Clark-Clauden","fresh",484,"2007"
"133","Cabernet Sauvignon","US",91,78,"California","Napa Valley","Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley)","Clark-Clauden","blackberry",2348,"2007"
"134","Cabernet Sauvignon","US",91,78,"California","Napa Valley","Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley)","Clark-Clauden","sweet",1155,"2007"
"135","Cabernet Sauvignon","US",91,85,"California","Spring Mountain District","Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District)","Terra Valentine","dark",1279,"2013"
"136","Cabernet Sauvignon","US",91,85,"California","Spring Mountain District","Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District)","Terra Valentine","herb",827,"2013"
"137","Cabernet Sauvignon","US",91,68,"California","Santa Ynez Valley","Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley)","Vincent Vineyards","currant",1431,"2012"
"138","Cabernet Sauvignon","US",91,25,"California","Napa Valley","Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley)","Yardstick","spicy",658,"2013"
"139","Cabernet Sauvignon","US",91,25,"California","Napa Valley","Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley)","Yardstick","berry",1140,"2013"
"140","Cabernet Sauvignon","Chile",91,32,"Maipo Valley","","Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley)","Cono Sur","herbs",610,"2012"
"141","Cabernet Sauvignon","US",85,85,"California","Diamond Mountain District","Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District)","Meeker","currants",603,"2004"
"142","Cabernet Sauvignon","South Africa",89,35,"Stellenbosch","","Hartenberg 2007 Cabernet Sauvignon (Stellenbosch)","Hartenberg","green",547,"2007"
"143","Cabernet Sauvignon","Argentina",89,30,"Mendoza Province","Mendoza","Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza)","Sottano","medium",515,"2009"
"144","Cabernet Sauvignon","Chile",87,19,"Aconcagua Valley","","Arboleda 2009 Cabernet Sauvignon (Aconcagua Valley)","Arboleda","licorice",533,"2009"
"145","Cabernet Sauvignon","US",87,40,"California","Napa Valley","Mount Veeder 2008 Cabernet Sauvignon (Napa Valley)","Mount Veeder","mocha",458,"2008"
"146","Cabernet Sauvignon","US",87,40,"California","Napa Valley","Mount Veeder 2008 Cabernet Sauvignon (Napa Valley)","Mount Veeder","smooth",605,"2008"
"147","Cabernet Sauvignon","US",88,160,"California","Sonoma Valley","Sebastiani 1991 Cherryblock Vineyard Cabernet Sauvignon (Sonoma Valley)","Sebastiani","pepper",694,"1991"
"148","Cabernet Sauvignon","Chile",88,15,"Maipo Valley","","Carmen 2000 Estate Grown Reserve Cabernet Sauvignon (Maipo Valley)","Carmen","herbal",818,"2000"
"149","Cabernet Sauvignon","Argentina",85,14,"Mendoza Province","Tupungato","Domaine Bousquet 2015 Cabernet Sauvignon (Tupungato)","Domaine Bousquet","earthy",427,"2015"
"150","Cabernet Sauvignon","Argentina",88,20,"Mendoza Province","Mendoza","Pascual Toso 2007 Reserve Las Barrancas Vineyards Cabernet Sauvignon (Mendoza)","Pascual Toso","hard",443,"2007"
"151","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","ripe",1628,"2012"
"152","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","dark",1222,"2012"
"153","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","black",3203,"2012"
"154","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","pepper",1458,"2012"
"155","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","vanilla",916,"2012"
"156","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","tobacco",922,"2012"
"157","Red Blend","US",87,23,"Virginia","Virginia","Quiévremont 2012 Vin de Maison Red (Virginia)","Quiévremont","currant",653,"2012"
"158","Red Blend","Italy",87,17,"Sicily & Sardinia","Cerasuolo di Vittoria","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)","Terre di Giurfo","berry",2012,"2011"
"159","Red Blend","Italy",87,17,"Sicily & Sardinia","Cerasuolo di Vittoria","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)","Terre di Giurfo","espresso",533,"2011"
"160","Red Blend","Italy",87,17,"Sicily & Sardinia","Cerasuolo di Vittoria","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)","Terre di Giurfo","tannins",3559,"2011"
"161","Red Blend","US",86,50,"California","Dry Creek Valley","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Envolve","licorice",946,"2010"
"162","Red Blend","US",86,50,"California","Dry Creek Valley","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Envolve","cabernet",2574,"2010"
"163","Red Blend","US",86,50,"California","Dry Creek Valley","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Envolve","franc",714,"2010"
"164","Red Blend","US",86,50,"California","Dry Creek Valley","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Envolve","sauvignon",2166,"2010"
"165","Red Blend","US",86,40,"Virginia","Virginia","Tarara 2010 #SocialSecret Red (Virginia)","Tarara","petit",611,"2010"
"166","Red Blend","US",86,40,"Virginia","Virginia","Tarara 2010 #SocialSecret Red (Virginia)","Tarara","verdot",611,"2010"
"167","Red Blend","US",86,12,"California","California","Cocobon 2014 Red (California)","Cocobon","spicy",587,"2014"
"168","Red Blend","US",86,12,"California","California","Cocobon 2014 Red (California)","Cocobon","bodied",749,"2014"
"169","Red Blend","US",86,12,"California","California","Cocobon 2014 Red (California)","Cocobon","fruit",2712,"2014"
"170","Red Blend","US",86,12,"California","California","Cocobon 2014 Red (California)","Cocobon","blackberry",1608,"2014"
"171","Red Blend","US",88,23,"California","Sonoma County","Ferrari-Carano 2014 Siena Red (Sonoma County)","Ferrari-Carano","sangiovese",1164,"2014"
"172","Red Blend","US",88,23,"California","Sonoma County","Ferrari-Carano 2014 Siena Red (Sonoma County)","Ferrari-Carano","malbec",531,"2014"
"173","Red Blend","US",88,23,"California","Sonoma County","Ferrari-Carano 2014 Siena Red (Sonoma County)","Ferrari-Carano","soft",876,"2014"
