fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,ID
4.758981012,4.453698903,4.68698535,4.334146521,5.39378178,4.438352422,4.712184254,4.922282342,4.085974306,6.485786353,4.133892097,5,27
4.299500401,6.017423144,3.608962897,4.546923335,4.841357831,4.820755861,4.65138534,5.240191104,6.029149831,4.361980001,4.040054205,5,28
4.701545935,5.654415731,3.608962897,4.617848939,4.883851981,4.247150703,4.073795658,4.816312755,5.446197173,4.597958484,4.415405775,5,29
4.069760095,5.821957614,3.968303715,4.901551358,5.032581506,5.107558441,6.080159816,4.498403993,5.251879621,4.30298538,4.696919452,6,30
4.184630248,5.877804908,3.608962897,4.972476962,5.372534705,5.58556274,4.712184254,4.922282342,5.964377313,4.479969242,5.166108915,5,31
4.988721317,5.710263025,4.224975728,4.830625753,4.905099056,4.916356721,7.022542981,4.922282342,4.085974306,5.01092083,4.415405775,6,32
4.184630248,5.431026554,4.224975728,10,4.692628306,7.306378216,6.110559273,6.352871769,5.899604796,4.184996138,4.040054205,5,33
3.20823395,3.839378665,4.892322961,4.47599773,5.330040555,4.725155002,5.107377194,4.4454192,5.446197173,4.361980001,3.85237842,6,34
4.701545935,5.654415731,3.608962897,7.100245099,4.968840281,3.960348123,4.134594572,5.981978214,5.575742208,4.361980001,4.22772999,5,35
4.701545935,5.403102906,4.327644533,4.901551358,4.968840281,3.769146404,4.043396201,5.399145485,5.705287243,4.656953105,5.3537847,6,36
4.873851164,4.174462431,5.046326168,4.688774544,4.543898782,4.725155002,4.499388055,5.028251929,4.474609411,5.423883177,4.321567882,6,37
3.495409331,8.363009506,4.07097252,4.263220917,6.796088728,4.151549843,4.164994029,3.544677709,6.223467383,3.949017654,4.415405775,7,38
4.414370553,4.565393492,5.457001388,7.383947517,4.713875381,4.629554142,6.232157101,5.558099865,5.122334586,6.013829386,5.072271022,4,39
4.414370553,4.565393492,5.457001388,7.383947517,4.713875381,4.629554142,6.232157101,5.558099865,5.122334586,6.013829386,5.072271022,5,40
5.275896699,5.458950201,5.148994973,5.185253776,5.011334431,5.107558441,4.985779366,5.452130278,4.668926963,4.126001517,3.946216312,5,41
4.529240706,4.788782669,4.635650948,5.043402567,10,4.247150703,4.012996744,5.028251929,4.345064376,6.426791732,5.072271022,4,42
4.873851164,5.738186672,4.738319753,4.759700148,4.607640007,4.342751562,4.286591856,5.028251929,4.928017033,8.196630359,4.884595237,6,43
4.127195172,5.794033967,3.711631702,4.47599773,4.203945582,3.960348123,3.921798373,4.710343168,6.093922348,4.184996138,4.133892097,5,44
2.863623491,4.956324552,4.378978935,4.688774544,4.288933882,4.247150703,5.563369048,3.226768947,8.814368084,4.420974621,7.512056228,5,45
4.644110859,7.273987266,5.816342206,4.759700148,5.56375838,5.58556274,7.052942438,5.134221517,4.604154446,5.423883177,3.85237842,4,46
5.218461623,3.671836782,6.278351829,4.334146521,5.542511305,4.629554142,4.712184254,5.081236723,4.604154446,4.538963863,4.133892097,5,47
3.897454866,4.28615702,4.789654156,4.334146521,4.543898782,3.960348123,3.95219783,4.498403993,5.187107103,4.420974621,3.85237842,5,48
3.437974255,3.783531371,5.508335791,4.192295312,4.713875381,4.629554142,6.505752213,4.286464819,5.057562068,4.538963863,3.85237842,5,49
5.275896699,5.738186672,4.943657363,4.405072126,4.713875381,3.864747263,4.286591856,5.18720631,3.956429271,5.482877798,3.85237842,5,50
4.012325019,4.956324552,3.814300508,4.759700148,4.607640007,4.247150703,4.043396201,4.392434406,5.575742208,4.833936968,4.040054205,5,51
4.012325019,4.844629963,3.814300508,4.688774544,4.586392932,4.055948983,4.012996744,4.339449613,5.510969691,4.892931589,4.040054205,6,52
5.161026546,4.174462431,5.457001388,5.327104985,4.862604906,6.350369618,7.204939723,5.134221517,4.280291858,4.420974621,4.040054205,6,53
4.586675782,4.900477258,4.378978935,5.185253776,5.47877008,6.637172198,5.806564703,4.339449613,4.085974306,4.833936968,4.790757345,5,54
4.644110859,5.514797495,3.814300508,5.894509821,4.926346131,5.872365319,4.955379909,5.558099865,5.187107103,4.243990759,4.133892097,6,55
6.079987768,4.397851609,6.535023841,5.610807403,4.628887082,3.864747263,3.891398916,5.18720631,3.243931578,4.833936968,4.22772999,5,56
4.529240706,5.570644789,4.224975728,6.816542681,5.500017155,8.262386814,6.93134461,5.823023833,4.668926963,5.65986166,4.040054205,5,57
4.701545935,5.347255612,4.532982143,4.830625753,4.756369531,5.107558441,5.228975022,5.399145485,5.770059761,4.597958484,4.60308156,5,58
4.414370553,4.230309726,5.200329376,4.901551358,4.713875381,4.342751562,4.985779366,4.710343168,5.640514726,4.30298538,4.040054205,5,59
5.275896699,4.28615702,5.662338998,4.759700148,4.820110756,5.29876016,5.168176108,5.664069453,5.834832278,4.892931589,3.85237842,6,60
4.644110859,5.905728555,6.124348621,4.47599773,5.585005455,5.39436102,6.992143524,5.028251929,4.345064376,5.305893935,3.946216312,5,61
4.529240706,4.956324552,4.430313338,4.546923335,4.947593206,4.629554142,4.65138534,5.028251929,5.446197173,4.774942347,4.133892097,5,62
4.242065324,6.15704138,3.86563491,4.617848939,4.862604906,4.725155002,5.228975022,4.922282342,5.510969691,4.479969242,4.415405775,7,63
4.356935477,6.101194086,3.86563491,6.49737746,4.968840281,3.864747263,3.921798373,4.710343168,5.640514726,3.418066066,5.447622592,5,64
4.356935477,6.101194086,3.86563491,6.49737746,4.968840281,3.864747263,3.921798373,4.710343168,5.640514726,3.418066066,5.447622592,5,65
4.529240706,4.956324552,4.173641325,4.263220917,4.820110756,4.533953282,4.772983167,5.028251929,5.705287243,4.538963863,4.22772999,5,66
4.012325019,5.989499497,3.968303715,4.334146521,4.756369531,4.055948983,4.043396201,4.710343168,5.834832278,4.538963863,5.259946807,5,67
5.563072081,3.839378665,6.535023841,4.617848939,4.713875381,6.063567039,5.563369048,5.081236723,4.798471998,5.777850902,5.259946807,5,68
4.816416088,5.989499497,3.86563491,4.546923335,4.713875381,4.247150703,4.164994029,4.710343168,5.187107103,6.721764836,5.072271022,5,69
4.644110859,5.570644789,4.019638118,4.546923335,4.756369531,4.916356721,4.408189684,4.975267136,5.057562068,4.30298538,4.133892097,6,70
4.644110859,5.794033967,4.789654156,4.688774544,5.011334431,5.107558441,6.505752213,4.710343168,5.057562068,3.949017654,4.133892097,6,71
4.644110859,5.905728555,4.738319753,4.546923335,4.926346131,5.203159301,6.444953299,4.657358374,4.992789551,3.949017654,4.133892097,5,72
4.988721317,5.821957614,4.943657363,4.688774544,4.926346131,4.533953282,4.894580995,5.452130278,4.992789551,4.243990759,3.85237842,5,73
5.792812386,3.839378665,6.381020634,4.972476962,5.138816881,6.159167899,6.110559273,5.876008627,4.798471998,5.954834765,4.22772999,4,74
5.275896699,4.342004314,6.894364659,4.759700148,5.117569806,4.342751562,4.864181538,5.981978214,6.482557453,5.01092083,5.072271022,5,75
5.275896699,4.342004314,6.894364659,4.759700148,5.117569806,4.342751562,4.864181538,5.981978214,6.482557453,5.01092083,5.072271022,5,76
4.127195172,6.436277852,3.608962897,4.901551358,5.35128763,4.820755861,4.499388055,4.922282342,6.353012418,4.361980001,5.259946807,5,77
4.069760095,6.240812321,4.224975728,4.617848939,4.968840281,4.629554142,6.019360902,4.498403993,5.446197173,4.184996138,4.696919452,6,78
4.988721317,5.542721142,4.635650948,4.263220917,4.841357831,6.063567039,7.204939723,5.240191104,4.021201788,7.724673392,3.758540527,5,79
3.782584713,4.565393492,4.635650948,4.334146521,4.607640007,3.769146404,4.043396201,4.498403993,5.640514726,4.420974621,3.85237842,4,80
4.701545935,4.453698903,7.202371074,4.546923335,10,5.58556274,5.624167962,5.346160691,3.826884236,8.668587326,4.040054205,5,81
4.47180563,4.844629963,6.021679816,4.617848939,4.968840281,5.48996188,5.806564703,5.134221517,5.316652138,4.479969242,3.758540527,5,82
4.414370553,5.794033967,4.943657363,4.47599773,10,5.011957581,5.137776651,5.081236723,4.021201788,7.842662633,4.040054205,5,83
3.84001979,3.727684077,6.073014219,4.47599773,4.607640007,5.203159301,5.44177122,4.551388787,5.834832278,5.718856281,4.884595237,5,84
4.184630248,5.123866435,4.378978935,4.759700148,4.756369531,5.29876016,4.803382624,4.657358374,5.640514726,4.597958484,4.696919452,6,85
5.161026546,4.788782669,5.046326168,4.546923335,5.47877008,5.39436102,7.721730491,5.240191104,2.531433886,10,4.509243667,5,86
4.644110859,4.788782669,4.943657363,4.546923335,4.458910482,4.342751562,4.529787512,4.922282342,5.510969691,4.892931589,4.22772999,6,87
5.563072081,4.230309726,5.867676609,4.688774544,5.415028855,6.732773057,7.387336464,5.558099865,3.891656753,8.314619601,4.133892097,5,88
4.242065324,5.514797495,4.019638118,4.47599773,4.756369531,4.247150703,4.316991313,5.558099865,6.093922348,4.243990759,3.664702635,5,89
4.758981012,4.956324552,4.943657363,4.546923335,4.820110756,7.497579936,7.843328318,4.816312755,4.474609411,4.30298538,4.133892097,5,90
5.161026546,4.788782669,5.046326168,4.546923335,5.47877008,5.39436102,7.721730491,5.240191104,2.531433886,10,4.509243667,5,91
5.161026546,4.788782669,5.097660571,4.617848939,5.47877008,5.29876016,7.63053212,5.240191104,2.531433886,10,4.415405775,6,92
4.644110859,4.788782669,4.943657363,4.546923335,4.458910482,4.342751562,4.529787512,4.922282342,5.510969691,4.892931589,4.22772999,5,93
3.093363797,7.748689268,3.814300508,4.192295312,4.097710207,7.401979076,6.171358187,3.438708121,7.842780321,3.949017654,5.072271022,5,94
2.921058568,5.403102906,4.48164774,4.830625753,4.373922182,5.107558441,6.809746782,3.12079936,8.490505496,4.656953105,7.324380443,4,95
4.127195172,6.380430557,3.608962897,5.327104985,5.30879348,4.247150703,4.286591856,4.869297549,5.899604796,4.420974621,5.259946807,6,96
4.242065324,4.844629963,4.892322961,4.617848939,4.628887082,3.769146404,4.256192399,4.763327961,4.604154446,4.833936968,3.85237842,5,97
4.586675782,7.078521736,3.916969313,4.972476962,4.820110756,3.960348123,3.891398916,4.975267136,5.510969691,4.420974621,4.415405775,5,98
4.873851164,5.095942788,4.532982143,4.546923335,4.841357831,4.725155002,4.65138534,5.240191104,4.928017033,4.597958484,3.664702635,5,99
4.988721317,5.458950201,5.148994973,4.688774544,4.926346131,4.533953282,5.107377194,5.240191104,5.575742208,4.715947726,4.790757345,6,100
4.701545935,4.844629963,5.148994973,4.546923335,4.735122456,4.247150703,4.256192399,4.551388787,4.992789551,4.420974621,4.97843313,6,101
4.873851164,5.095942788,4.532982143,4.546923335,4.841357831,4.725155002,4.65138534,5.240191104,4.928017033,4.597958484,3.664702635,6,102
4.873851164,5.263484671,4.738319753,4.688774544,4.777616606,4.629554142,5.563369048,4.975267136,4.863244516,4.126001517,3.85237842,6,103
4.356935477,4.788782669,4.840988558,4.759700148,4.628887082,3.960348123,4.681784797,4.604373581,5.122334586,3.949017654,4.040054205,5,104
4.873851164,5.263484671,4.738319753,4.688774544,4.777616606,4.629554142,5.563369048,4.975267136,4.863244516,4.126001517,3.85237842,5,105
4.701545935,4.342004314,7.099702269,4.405072126,10,5.203159301,5.684966876,5.293175897,3.503021648,8.845571189,3.946216312,5,106
3.782584713,5.570644789,5.200329376,4.405072126,5.011334431,4.916356721,5.532969591,5.081236723,5.964377313,5.777850902,3.946216312,5,107
4.816416088,3.89522596,6.329686231,4.972476962,5.075075656,5.203159301,6.019360902,5.452130278,5.381424656,5.836845523,4.22772999,5,108
4.873851164,6.436277852,6.278351829,4.617848939,5.73373498,7.019575637,8.238521259,5.081236723,4.345064376,5.187904693,3.946216312,6,109
4.701545935,5.179713729,4.584316545,4.47599773,5.35128763,4.629554142,5.016178823,4.816312755,4.215519341,6.603775595,4.133892097,5,110
5.046156393,5.514797495,4.07097252,4.759700148,4.926346131,4.533953282,6.870545696,4.816312755,3.956429271,5.01092083,4.415405775,5,111
5.046156393,5.403102906,4.122306923,4.759700148,4.947593206,4.820755861,6.961744067,4.816312755,3.956429271,5.01092083,4.415405775,5,112
6.022552692,3.783531371,5.867676609,4.830625753,4.841357831,5.58556274,4.985779366,6.087947801,5.057562068,5.069915451,4.321567882,5,113
4.701545935,5.179713729,4.584316545,4.47599773,5.35128763,4.629554142,5.016178823,4.816312755,4.215519341,6.603775595,4.133892097,6,114
5.620507157,4.28615702,5.200329376,4.759700148,5.053828581,4.725155002,5.472170677,4.922282342,3.438249131,4.833936968,5.072271022,5,115
4.988721317,5.068019141,5.046326168,4.546923335,4.777616606,4.533953282,4.803382624,5.558099865,5.510969691,4.715947726,4.60308156,6,116
4.701545935,5.179713729,4.224975728,4.617848939,4.883851981,4.151549843,4.438589141,5.134221517,5.381424656,4.067006896,4.040054205,6,117
5.275896699,5.123866435,3.814300508,4.759700148,5.669993755,4.820755861,5.289773935,4.710343168,4.345064376,4.656953105,5.447622592,6,118
4.242065324,5.905728555,4.019638118,4.47599773,5.202558106,5.58556274,6.292956014,4.551388787,5.187107103,4.30298538,3.85237842,6,119
4.414370553,8.02792574,4.07097252,4.405072126,6.923571178,4.438352422,6.292956014,4.710343168,4.928017033,4.479969242,3.664702635,6,120
5.275896699,5.123866435,3.814300508,4.759700148,5.669993755,4.820755861,5.289773935,4.710343168,4.345064376,4.656953105,5.447622592,5,121
4.414370553,5.933652203,3.608962897,4.972476962,4.735122456,3.769146404,3.982597287,5.664069453,6.158694866,4.184996138,3.85237842,6,122
4.816416088,6.017423144,3.608962897,5.043402567,4.841357831,4.533953282,4.620985883,5.452130278,5.834832278,4.243990759,4.133892097,5,123
4.701545935,4.844629963,4.48164774,4.334146521,4.883851981,5.48996188,6.688148955,4.604373581,5.510969691,3.949017654,4.133892097,5,124
5.390766852,5.514797495,3.814300508,4.546923335,6.243664779,6.063567039,6.323355471,5.876008627,4.021201788,5.246899314,4.040054205,5,125
4.931286241,9.479955392,3.608962897,4.405072126,4.862604906,3.769146404,3.95219783,4.816312755,6.417784936,4.008012275,5.447622592,5,126
4.873851164,9.479955392,3.608962897,4.47599773,4.883851981,3.769146404,3.95219783,4.816312755,6.482557453,3.949017654,5.447622592,5,127
4.816416088,5.347255612,4.430313338,4.47599773,4.522651707,3.769146404,4.073795658,4.710343168,5.705287243,6.544780974,5.072271022,5,128
3.725149637,4.174462431,4.378978935,4.47599773,4.671381231,4.055948983,4.164994029,4.339449613,5.705287243,4.479969242,4.040054205,7,129
4.816416088,6.212888674,6.483689439,4.617848939,5.64874668,6.350369618,7.660931577,5.028251929,4.539381928,5.01092083,4.040054205,5,130
3.437974255,4.844629963,4.07097252,4.830625753,4.182698507,5.107558441,6.596950584,3.385723328,7.065510111,4.833936968,7.418218335,5,131
3.437974255,4.844629963,4.07097252,4.830625753,4.182698507,5.107558441,6.596950584,3.385723328,7.065510111,4.833936968,7.418218335,5,132
4.012325019,4.844629963,3.6602973,4.263220917,4.416416332,5.107558441,4.377790227,4.180495232,5.575742208,4.538963863,4.415405775,5,133
4.758981012,7.860383857,3.86563491,4.759700148,4.926346131,4.725155002,4.468988598,4.551388787,4.409836893,4.361980001,4.509243667,6,134
5.046156393,6.212888674,4.173641325,4.546923335,5.053828581,5.011957581,5.502570134,4.869297549,4.215519341,5.954834765,4.22772999,6,135
4.988721317,6.045346791,4.378978935,4.47599773,5.032581506,4.438352422,5.168176108,5.028251929,4.474609411,5.65986166,4.133892097,5,136
4.356935477,4.369927961,5.457001388,4.617848939,4.862604906,4.725155002,4.955379909,5.240191104,6.093922348,4.892931589,3.85237842,5,137
4.701545935,5.179713729,4.584316545,4.688774544,4.862604906,4.916356721,6.779347325,4.710343168,5.122334586,4.30298538,4.133892097,5,138
4.701545935,5.179713729,4.584316545,4.617848939,4.862604906,5.107558441,6.870545696,4.710343168,5.057562068,4.30298538,4.133892097,5,139
5.046156393,6.212888674,4.173641325,4.546923335,5.053828581,5.011957581,5.502570134,4.869297549,4.215519341,5.954834765,4.22772999,5,140
4.988721317,6.045346791,4.378978935,4.47599773,5.032581506,4.438352422,5.168176108,5.028251929,4.474609411,5.65986166,4.133892097,5,141
3.20823395,3.951073254,3.608962897,4.47599773,4.203945582,6.063567039,5.502570134,2.273042662,7.389372698,5.777850902,8.35659726,5,142
3.84001979,4.230309726,4.019638118,4.405072126,4.543898782,3.769146404,4.195393486,4.286464819,5.187107103,4.538963863,4.040054205,6,143
3.20823395,3.951073254,3.608962897,4.47599773,4.203945582,6.063567039,5.502570134,2.273042662,7.389372698,5.777850902,8.35659726,5,144
4.873851164,5.794033967,6.432355036,4.47599773,5.627499605,6.541571338,7.873727775,5.028251929,4.085974306,4.774942347,4.040054205,6,145
3.552844408,5.849881261,3.711631702,4.47599773,4.990087356,5.48996188,6.444953299,3.756616883,6.482557453,4.184996138,4.60308156,5,146
4.586675782,4.788782669,4.943657363,4.334146521,8.155901525,4.438352422,6.262556557,5.028251929,3.697339201,5.836845523,3.946216312,5,147
4.184630248,4.788782669,4.122306923,4.830625753,4.713875381,4.629554142,4.499388055,4.551388787,5.705287243,4.538963863,4.790757345,5,148
4.931286241,4.28615702,5.867676609,5.185253776,5.032581506,4.533953282,4.894580995,5.399145485,6.417784936,4.715947726,5.072271022,6,149
4.414370553,3.89522596,6.021679816,4.688774544,4.777616606,3.960348123,3.921798373,4.498403993,5.122334586,4.243990759,4.884595237,6,150
5.505637004,4.956324552,8.74240315,5.610807403,10,6.541571338,5.684966876,6.51182615,1.300756053,10,4.040054205,6,151
4.529240706,5.403102906,3.762966105,4.47599773,5.160063956,5.872365319,6.596950584,4.074525645,5.251879621,4.30298538,4.696919452,4,152
4.529240706,5.403102906,3.762966105,4.47599773,5.160063956,5.872365319,6.596950584,4.074525645,5.251879621,4.30298538,4.696919452,5,153
4.299500401,4.453698903,5.765007803,7.100245099,4.628887082,6.254768758,7.508934292,5.293175897,5.705287243,5.364888556,5.072271022,5,154
4.299500401,4.453698903,5.765007803,7.100245099,4.650134156,6.159167899,7.478534835,5.293175897,5.705287243,5.305893935,5.072271022,5,155
4.299500401,4.453698903,5.765007803,7.100245099,4.628887082,6.254768758,7.508934292,5.293175897,5.705287243,5.364888556,5.072271022,5,156
4.299500401,4.453698903,5.765007803,7.100245099,4.650134156,6.159167899,7.478534835,5.293175897,5.705287243,5.305893935,5.072271022,5,157
4.299500401,5.849881261,3.608962897,4.759700148,4.692628306,4.629554142,4.256192399,5.081236723,6.093922348,4.067006896,3.946216312,5,158
4.127195172,5.403102906,4.532982143,4.546923335,4.820110756,5.203159301,6.201757644,5.028251929,6.806420041,4.479969242,3.946216312,5,159
4.586675782,7.357758208,3.762966105,4.617848939,5.053828581,4.151549843,4.195393486,4.551388787,4.280291858,4.420974621,4.22772999,6,160
4.586675782,5.849881261,3.711631702,4.121369707,4.671381231,4.342751562,4.195393486,4.869297549,4.085974306,7.488694908,3.85237842,5,161
4.701545935,5.012171846,3.814300508,4.405072126,4.756369531,5.107558441,4.529787512,4.816312755,5.122334586,4.420974621,4.60308156,4,162
4.47180563,5.403102906,4.943657363,8.376905981,4.628887082,6.923974777,7.265738636,5.77003904,5.381424656,4.008012275,4.040054205,6,163
4.414370553,5.347255612,4.943657363,8.305980376,4.628887082,6.828373917,7.265738636,5.717054246,5.381424656,4.008012275,4.040054205,5,164
4.701545935,5.570644789,6.073014219,4.405072126,5.26629933,4.820755861,6.505752213,4.657358374,4.215519341,4.774942347,4.133892097,5,165
4.127195172,5.626492084,4.122306923,4.688774544,4.947593206,5.203159301,6.657749498,4.392434406,5.187107103,4.184996138,4.790757345,5,166
4.414370553,5.123866435,3.762966105,4.334146521,4.671381231,5.107558441,4.864181538,4.392434406,5.381424656,3.949017654,3.664702635,5,167
4.127195172,5.570644789,3.968303715,4.688774544,5.032581506,4.533953282,4.924980452,4.233480025,6.029149831,4.361980001,4.97843313,4,168
4.529240706,5.989499497,4.840988558,4.47599773,10,4.916356721,5.502570134,4.816312755,2.984841508,10,4.133892097,6,169
4.758981012,6.994750795,3.762966105,4.47599773,4.373922182,3.864747263,3.830600002,5.240191104,5.316652138,3.064098341,3.758540527,5,170
4.816416088,4.397851609,4.48164774,4.617848939,4.692628306,4.055948983,4.134594572,5.240191104,4.863244516,4.715947726,3.85237842,4,171
4.816416088,4.397851609,4.48164774,4.617848939,4.692628306,4.055948983,4.134594572,5.240191104,4.863244516,4.715947726,3.85237842,6,172
4.47180563,5.514797495,3.86563491,4.546923335,4.586392932,5.776764459,4.864181538,4.657358374,5.705287243,4.479969242,6.010649947,6,173
4.414370553,4.174462431,4.68698535,4.617848939,4.841357831,4.151549843,4.65138534,4.657358374,5.122334586,3.890023033,4.133892097,6,174
4.184630248,4.844629963,3.814300508,4.263220917,4.947593206,5.29876016,5.076977737,4.498403993,5.251879621,5.718856281,4.133892097,5,175
4.414370553,4.174462431,4.68698535,4.617848939,4.841357831,4.151549843,4.65138534,4.657358374,5.122334586,3.890023033,4.133892097,5,176
4.529240706,4.956324552,5.765007803,4.830625753,4.990087356,4.247150703,4.74258371,5.240191104,6.741647523,4.715947726,5.072271022,5,177
4.242065324,6.54797244,3.608962897,4.972476962,4.586392932,4.151549843,4.195393486,5.081236723,6.093922348,4.420974621,4.22772999,6,178
5.275896699,5.458950201,4.327644533,4.901551358,4.565145857,4.438352422,4.864181538,5.081236723,4.215519341,4.597958484,4.133892097,5,179
5.275896699,5.458950201,4.327644533,4.901551358,4.565145857,4.438352422,4.864181538,5.081236723,4.215519341,4.597958484,4.133892097,5,180
5.333331775,5.458950201,6.124348621,4.617848939,8.878302074,5.6811636,6.93134461,5.240191104,3.762111718,7.134727183,3.946216312,5,181
4.356935477,6.129117733,3.711631702,4.972476962,4.756369531,5.011957581,4.864181538,5.240191104,5.834832278,4.184996138,3.946216312,5,182
4.127195172,5.458950201,4.635650948,4.47599773,4.777616606,4.533953282,5.563369048,5.18720631,6.482557453,4.538963863,3.946216312,5,183
4.069760095,5.514797495,4.68698535,4.546923335,4.820110756,4.247150703,5.472170677,5.134221517,6.353012418,4.538963863,3.946216312,5,184
5.333331775,3.783531371,6.535023841,4.617848939,5.500017155,5.967966179,6.171358187,5.18720631,4.668926963,4.243990759,4.321567882,6,185
4.47180563,4.230309726,6.073014219,4.617848939,4.883851981,4.820755861,5.624167962,5.240191104,5.187107103,4.361980001,3.85237842,5,186
4.644110859,5.989499497,4.122306923,5.043402567,4.926346131,4.342751562,4.377790227,5.452130278,5.510969691,4.008012275,4.321567882,5,187
4.758981012,4.844629963,5.302998181,4.617848939,4.926346131,4.916356721,7.934526689,5.028251929,4.280291858,4.361980001,4.133892097,5,188
4.758981012,4.788782669,5.251663778,4.546923335,4.883851981,5.107558441,7.964926146,5.028251929,4.280291858,4.361980001,4.133892097,5,189
4.931286241,4.844629963,5.405666986,5.25617938,4.777616606,5.48996188,7.448135378,5.452130278,4.474609411,4.774942347,4.040054205,5,190
3.897454866,4.118615137,4.892322961,4.546923335,4.713875381,5.48996188,5.076977737,5.346160691,6.676875006,4.774942347,4.415405775,5,191
4.127195172,5.570644789,4.224975728,5.894509821,5.245052255,5.011957581,7.417735921,5.081236723,4.798471998,4.715947726,4.133892097,6,192
4.586675782,5.123866435,4.68698535,4.759700148,4.650134156,4.151549843,4.438589141,4.816312755,4.798471998,4.361980001,4.321567882,5,193
4.586675782,5.123866435,4.68698535,4.759700148,4.650134156,4.151549843,4.438589141,4.816312755,4.798471998,4.361980001,4.321567882,5,194
4.701545935,5.347255612,5.302998181,4.617848939,4.713875381,5.776764459,7.23533918,5.028251929,4.604154446,4.30298538,4.040054205,5,195
4.414370553,5.291408318,5.148994973,4.901551358,4.713875381,4.916356721,5.259374478,5.028251929,5.964377313,4.597958484,4.790757345,5,196
6.826643761,3.727684077,6.689027049,4.617848939,4.565145857,4.629554142,4.408189684,5.717054246,3.697339201,6.839754078,4.696919452,5,197
3.323104102,6.715514323,4.019638118,4.050444103,4.118957282,4.725155002,6.414553842,2.696921011,6.676875006,6.131818627,7.418218335,6,198
